profile_id,pct_weeks_with_income,income_coefficient_of_variation,longest_dry_streak_days,trend_last_6_months,year_over_year_change,expense_to_income_ratio,ontime_bill_payment_rate,cash_buffer_days,worst_monthly_dip_pct,months_would_cover_emi_of_last_24,digital_share,cash_share,sufficiency_outcome,sufficiency_months_available,sufficiency_transactions_per_month
MSME0001,1.0,0.3957324538591692,1,0.0516207043126853,0.11618515909128745,0.37832965765992826,0.875,48.363644008522385,0.6419008333066148,22,0.7480197410988747,0.25198025890112535,FULL,24,233.75
MSME0002,1.0,0.20817539684706465,2,0.019429884071226085,-0.016057287721133583,0.640447496365721,0.6666666666666666,15.546879278611236,0.5906597984634013,21,0.6246149089265166,0.37538509107348333,FULL,24,152.917
MSME0003,0.9565217391304348,0.13982127858827115,3,,,0.5084442718391701,0.0,32.18410117803882,0.21546654977588095,5,0.7073508705667786,0.29264912943322136,NOT_ASSESSABLE,5,63.2
MSME0004,1.0,0.2121827158928986,6,0.29342886031051973,0.24141542596410293,0.6578069456357161,1.0,14.096164369524562,0.33396974932937673,24,0.9038826113877797,0.09611738861222036,FULL,24,45.833
MSME0005,1.0,0.38253157760290063,1,0.17362959896896635,0.14759411586901738,0.3312754731575035,1.0,60.06841707048542,0.37090427456402486,24,0.8390221449152879,0.1609778550847121,FULL,24,238.625
MSME0006,1.0,0.46419210517125375,6,-0.12632100640086108,-0.11337748354831913,1.1492086933367767,0.25,-2.0213080079025625,0.6749673356856059,9,0.5724407822711601,0.42755921772883987,FULL,24,134.083
MSME0007,1.0,0.43344084622368,1,0.0060932301802959655,0.012085764050345615,0.3202626916456131,0.9583333333333334,47.024368925866625,0.16266319589748765,24,0.3421232431901164,0.6578767568098836,FULL,24,79.875
MSME0008,1.0,0.1852121665198542,5,0.05018646185089047,0.03333210051706474,0.6285064605075031,0.9583333333333334,18.111573416202425,0.40215082436308736,24,0.8869693302839882,0.11303066971601182,FULL,24,44.625
MSME0009,1.0,0.373837420034858,2,0.06542080217539041,0.03214388164296253,0.501267405390644,0.9166666666666666,31.66518614092138,0.34759794521353704,24,0.756647966706543,0.24335203329345695,FULL,24,229.917
MSME0010,1.0,0.20597775592651302,2,0.14750261264170805,0.15089370489443324,0.5673323710057924,1.0,19.653451958036595,0.4347407712569533,23,0.8034688668643604,0.19653113313563975,FULL,24,170.458
MSME0011,1.0,0.47404614731048755,5,0.11099725834733772,0.14488065775484152,0.19246287705895995,0.9565217391304348,96.44628088755323,0.39009989544630136,24,0.8254063734206438,0.17459362657935623,FULL,24,80.25
MSME0012,1.0,0.198206866282222,7,-0.02986793772165726,0.05094311749420748,0.07106096863043337,0.75,409.2164581205666,0.424510884603695,24,0.7636704856675087,0.23632951433249133,FULL,24,41.042
MSME0013,1.0,0.36481732361641417,2,-0.002646664046667507,0.01255345951639865,0.3318158744870686,0.75,59.05849608675072,0.381436252770023,24,0.7496682101964495,0.25033178980355053,FULL,24,231.792
MSME0014,1.0,0.1716542900026716,2,0.06308773034927911,0.046208957451866976,0.6458763081012041,0.7916666666666666,16.057602012805578,0.3532023956202959,21,0.7343351976252869,0.2656648023747132,FULL,24,161.417
MSME0015,1.0,0.4624840226095519,8,0.1308928553134189,0.12998232577185018,0.20950381927928807,1.0,83.04931311160664,0.19566764855096716,24,0.8512372542063913,0.1487627457936087,FULL,24,79.208
MSME0016,0.9904761904761905,0.28729993018429717,8,-0.05763973211749928,-0.08156885579898304,1.0603462366686527,0.5416666666666666,-0.5208000465699797,0.6521675097579267,24,0.7999314090966425,0.2000685909033574,FULL,24,42.042
MSME0017,1.0,0.36181605712414977,8,0.256639216426905,0.21382922599657953,0.348632742938752,0.9166666666666666,53.76953647822235,0.40401278760506565,24,0.8409699517256543,0.15903004827434586,FULL,24,236.375
MSME0018,1.0,0.17496349519949111,2,0.12619890223111543,0.1442740537253978,0.5906917299120391,0.9583333333333334,17.843584832557223,0.17786074290499898,24,0.8365123053771618,0.16348769462283816,FULL,24,173.792
MSME0019,1.0,0.435416181844786,2,0.0523869079906963,0.03740464286529683,0.44531026916497196,0.7916666666666666,28.21158473175502,0.20316621182852285,24,0.7797540437608843,0.22024595623911572,FULL,24,78.083
MSME0020,1.0,0.2015776891524862,6,0.06238452554700033,0.07313383416352268,0.4537498852793829,1.0,37.811410201853995,0.3686788365787275,24,0.8907094929470836,0.10929050705291635,FULL,24,46.375
MSME0021,1.0,0.35169268464555387,8,-0.25094154520582757,-0.119262820704048,0.9708772627547407,0.20833333333333334,1.0883153729938218,0.5482351440261001,21,0.659233081112937,0.3407669188870629,FULL,24,184.458
MSME0022,0.9904761904761905,0.2687231401105801,11,0.06402320346568853,0.005288283637793583,0.9029619058658155,0.375,3.0897644258064982,0.6389852482987545,10,0.6013845531571584,0.3986154468428416,FULL,24,131.042
MSME0023,1.0,0.43672759837418657,6,0.1264510489997052,0.15346198475708112,0.41120258337996374,0.9166666666666666,33.72097429028051,0.3156012075911064,24,0.8772269898514348,0.1227730101485653,FULL,24,84.083
MSME0024,1.0,0.2575739546215277,5,0.019148777689561847,0.1397744951939165,0.08831664627832045,0.875,326.5612697846157,0.4468310698117703,24,0.8618631072498101,0.13813689275018995,FULL,24,40.792
MSME0025,1.0,0.46076269864277314,3,-0.08241333372700388,-0.10305148607526435,0.7456611747989574,0.4583333333333333,5.52122425478713,0.38730272748759975,23,0.7108942209623121,0.2891057790376878,FULL,24,216.833
MSME0026,1.0,0.14890702062207714,2,0.10197383770985725,0.10616943595359411,0.5979192415446726,0.9583333333333334,19.273449816952088,0.13358271355434487,24,0.8434379116467405,0.1565620883532595,FULL,24,166.667
MSME0027,1.0,0.4746695608380621,6,-0.200876630155023,-0.1465779597747108,0.2702119018243638,0.5416666666666666,64.34933667472224,0.4856711463052959,24,0.656990004246201,0.3430099957537989,FULL,24,70.333
MSME0028,0.9904761904761905,0.214179391776928,8,-0.05182170597075684,-0.0741985432274197,0.1572432538694735,0.4583333333333333,166.780452538909,0.517548039715266,24,0.6265019495049599,0.37349805049504026,FULL,24,32.333
MSME0029,1.0,0.3735364778247679,2,0.10736744729870651,0.11731829299456081,0.318896055425313,1.0,58.60976086843864,0.3687469602317675,24,0.8359629219498984,0.16403707805010168,FULL,24,240.875
MSME0030,1.0,0.21874821337381042,8,0.19316255639781899,0.1712942971150807,0.6886976778757148,0.9583333333333334,12.990562282394938,0.37801010913505,22,0.8618777701470886,0.13812222985291142,FULL,24,168.5
MSME0031,1.0,0.45012018807063997,8,-0.12548137596059344,-0.0705628881787593,0.2711112017886512,0.7391304347826086,71.09167331465865,0.3371994263860234,24,0.6855870943579934,0.3144129056420066,FULL,24,72.25
MSME0032,1.0,0.23640123684639933,5,0.008914885334589673,-0.14167925788248226,0.026279378083099967,0.5416666666666666,1119.5327488723713,0.497445350154003,24,0.6653351072267979,0.33466489277320216,FULL,24,38.333
MSME0033,1.0,0.5007655966647109,5,-0.38540504371411083,-0.20779806318146982,0.6225817688353096,0.4583333333333333,18.515721014954835,0.7987473828759595,17,0.5794598693403415,0.42054013065965834,FULL,24,192.167
MSME0034,1.0,0.15956678621296036,1,0.09932281422759122,0.11498214726045107,0.6066921594422967,0.9583333333333334,16.376971278923115,0.15996413545471397,24,0.8320851226728642,0.1679148773271358,FULL,24,168.75
MSME0035,1.0,0.47233592774797084,5,0.1559438316871486,0.042883766103428055,0.4812901712131044,0.625,23.389834969595068,0.5701297139984705,24,0.8179964040714958,0.18200359592850412,FULL,24,78.333
MSME0036,1.0,0.17423602769428057,6,-0.051983320973598826,-0.03986914719481267,0.0655447291460253,0.75,432.5025235276834,0.3472012848618252,24,0.7540908723349354,0.24590912766506454,FULL,24,39.917
MSME0037,1.0,0.5295169174147935,4,-0.07207203359210178,0.04003282954870305,0.5524939815621055,0.16666666666666666,28.48740593391713,0.8285641039597589,18,0.5758750778433048,0.42412492215669517,FULL,24,192.167
MSME0038,1.0,0.19072672569820842,7,0.10817599972512837,0.13861545760716282,0.5851853755838771,1.0,19.654705790239632,0.1566586950912296,24,0.8481332731451905,0.15186672685480943,FULL,24,166.083
MSME0039,0.9904761904761905,0.43348987864974076,7,0.2318680518984797,0.17331474204825373,0.20541839334155831,1.0,96.93026283171679,0.2946691902418101,24,0.8459608172230406,0.15403918277695947,FULL,24,78.583
MSME0040,1.0,0.21708153233559419,8,0.045698152036607875,0.11362266294266186,0.0603286502480772,0.9166666666666666,447.50731424542425,0.40986482286107284,24,0.8444207470151394,0.1555792529848606,FULL,24,41.792
MSME0041,1.0,0.33644273191064245,3,-0.24152666741580558,-0.17832509213294337,0.4283806616235711,0.5416666666666666,41.04231194538396,0.4428920960249635,23,0.6600737839403624,0.3399262160596376,FULL,24,216.125
